member_name,late_books,discount_applied,fee_to_pay
Mitchell Jensen,Able operation onto travel.,0.0,0.0
Lisa Robinson,You Mrs any boy they.,0.1,0.0
Connor Mann,Letter year small talk thought.,0.0,0.0
Kristin Burton,"Off political.,Provide purpose approach.,Authority yet choose receive.",0.25,0.0
Jessica Adkins,"Parent next must return law.,Join more blue treatment education writer.",0.25,0.0
Tiffany Saunders,"Message story board especially continue.,Fast better brother TV husband you.",0.25,0.0
Seth Miller,Impact dream couple bank center fact.,0.1,0.0
Samantha Burton,Night professor international growth opportunity line.,0.1,1.56
Anthony Hays,"Point mention matter history.,Attorney learn.",0.0,0.0
Mark Thompson,"Skill let ago experience perform but.,Pressure something board.,Generation with.",0.0,0.0
Shannon Hamilton,And media yeah which.,0.1,0.0
Dennis Hull,Grow spend.,0.25,0.0
Edward Schroeder,Part ground firm tough.,0.0,0.0
Nancy Smith,"Allow specific almost.,Audience degree sister kind responsibility rule.",0.25,4.16
Andrew Ramirez,Carry need artist.,0.0,0.0
Tracy Thompson,Network your short fill table population.,0.0,0.0
Melissa Warner,Early after service.,0.1,0.0
Brittany Morales,Rate record record affect democratic coach.,0.0,0.0
Brendan Gonzalez,Born kid firm enter serious.,0.1,0.0
Kirsten Velazquez,Door know environment series.,0.0,0.0
Stephanie Mays,Interesting attention finally.,0.0,0.0
Keith Hall,"Song nothing.,Management bad ahead might.",0.0,0.0
Monica Wright,"Recently natural research fall certain.,Able executive fight.",0.0,0.0
Ashley Warren,"Prevent share keep.,For certain air once tax discover.",0.1,1.35
Craig Smith,"Several last truth.,May speech world myself step.,Decade similar up not.",0.1,0.0
Diane Peters,And media yeah which.,0.25,0.0
Michael King,For certain air once tax discover.,0.1,0.0
Jason Vance,Evening change live.,0.25,0.0
Heather Brown,"Top large quickly dark leg ground.,Safe wall turn accept.",0.1,0.0
Jason Vazquez,Yourself study growth back.,0.0,0.0
David Brown,"Born kid firm enter serious.,May speech world myself step.",0.1,1.89
Patricia Moore,"Six role get.,These have shoulder.",0.0,0.0
Brenda Brooks,"Remain never beat.,Worry director forward smile.",0.1,0.0
Lisa Brown,"Expect theory watch.,Read kind interesting culture cold.",0.0,0.0
Frank Gonzalez,Wear service front build.,0.25,4.01
Jacob Gibson,Dark market.,0.0,0.0
Brittany Walker,Speak medical visit thank.,0.25,0.0
Marissa Price,"Its agent news board.,Skill full heart.",0.25,0.0
Kenneth Johnson,Source government sort back practice.,0.1,0.0
Melody Rogers,Theory cup ten will.,0.25,0.0
David Sloan,"Thank ever matter.,Audience degree sister kind responsibility rule.",0.0,0.0
Anthony Kim,"After keep than agreement.,Cut area model statement.",0.1,0.0
Brooke Valenzuela,Present small.,0.1,0.0
Matthew Stephens,"Without model team society.,Be yeah successful.",0.25,0.0
Brian Russell,Growth describe building woman.,0.25,0.0
Alyssa Gonzalez,"Home executive local financial.,Common front southern.",0.1,0.0
Jordan Ramirez,"Determine ten act science difference.,Audience sell position.",0.25,0.0
Jill Williams,Pressure something board.,0.0,0.0
Walter Bennett,"Girl fly stuff star cost.,Bar mind customer election wife.",0.1,0.0
Mitchell Baldwin,Hotel task artist instead structure point.,0.1,0.0
Aimee Aguilar,"World age even even once.,Send particularly set thought her chair.",0.0,0.0
Kathryn Henry,"Go law report.,Often part.",0.25,3.9
Brian Smith,Her now political in.,0.25,0.0
Linda White,Heavy reason claim matter.,0.0,0.0
Michael Sharp,"Experience little exactly see hit.,Feel though worry now.",0.1,1.07
Michael Rosario,"Network agree story state.,Kid bag collection.",0.1,0.6
Thomas Peters,Hold better stuff difficult simply.,0.25,4.49
Jodi Miller,Under I scientist each.,0.1,0.0
Megan Reed,Direction data through plant.,0.0,0.0
Douglas Dunn,Network your short fill table population.,0.1,0.0
James Nguyen,Or everybody role why strong.,0.1,0.0
Amanda Mccarty,Color civil fine.,0.25,0.0
Matthew Wilson,Away imagine foreign then if exist.,0.0,0.0
Carmen Mcgrath,East away value industry time.,0.0,0.0
Gabriela Brooks,Effort key.,0.0,0.0
Jessica Mcintosh,Source government sort back practice.,0.1,0.0
Veronica Griffin,"Several certainly may.,Off political.,Story stock understand whose.,Soldier drive increase apply.",0.1,0.0
Lisa Marsh,"Hundred staff join before factor Congress.,Two career.,Plant expert I.,Choice while worker ground.,Bill opportunity address.",0.0,0.0
Donna Dominguez,"Condition increase necessary wall.,Authority yet choose receive.,Low win ago approach.",0.0,0.0
Cindy Richardson,"Security seek.,Top turn lot edge.,Message story board especially continue.",0.0,0.0
Phillip Robinson,Try personal nation thousand.,0.25,4.98
Kevin Vega,Career thus.,0.1,0.0
Michael Luna,Summer act.,0.0,0.0
Jennifer Hernandez,"Piece force magazine follow.,Source government sort back practice.",0.25,0.0
Robin Wheeler,Mission media night.,0.0,0.0
Timothy Reynolds,Top turn lot edge.,0.1,0.0
Breanna Lee,Century sport peace education.,0.25,0.0
Tina Walters,"Hour paper goal agency.,Receive truth commercial.,Girl fly stuff star cost.",0.1,1.21
Matthew Mack,"Left boy peace argue collection.,Even follow suddenly study evidence.,Fast where tough management.,Good trial forget.",0.25,0.0
Tanner Whitaker,"People economy full area can.,Remain never beat.,Someone follow particularly protect.",0.0,0.0
Richard Matthews,Including story city business.,0.1,0.0
Tara Moreno,"Standard bad cover.,Number player evening eye.,Significant exist plant.,Increase once final door itself.",0.25,3.82
Dawn Barton,Grow spend.,0.1,0.0
Tracie Oneal,"Modern listen though.,Save they reveal.",0.1,0.0
Jeffery Frost,"Soldier nearly push general budget.,Indeed short hospital.",0.1,1.74
Jennifer Pineda,People economy full area can.,0.1,0.0
Eduardo Alexander,"Money fight vote.,Road others then.",0.1,0.0
Craig Adkins,"Wind daughter.,Dark environment traditional crime window smile.",0.0,0.0
Patty Willis,Usually interest plant usually.,0.0,0.0
Thomas Duncan,Pick green over represent.,0.25,4.85
Angelica Williams,Her now political in.,0.0,0.0
Steven Lawrence,"Degree figure person total.,Everything west choose field.",0.1,0.0
Melissa Francis,Represent staff blood land staff.,0.1,0.0
Daniel Wright,Simple dog father candidate care.,0.25,0.0
William Gutierrez,Always do threat take.,0.25,0.0
Paul Reed,Body most detail.,0.0,0.0
Cheyenne Porter,Movie property great child.,0.25,0.62
Cynthia Baldwin,Decade around particular leader some.,0.1,0.0
Pamela Brown,Ground car money gas peace.,0.1,1.72
Deborah Robinson,Money fight vote.,0.1,0.0
Brenda Fletcher,"Six role get.,Too determine.,May speech world myself step.",0.0,0.0
Rachel Fisher,Structure body various share.,0.25,0.0
Jason Harrell,Girl vote science one.,0.1,0.0
Paige Davidson,Including story city business.,0.0,0.0
Amanda Gallagher,Society affect perhaps simply manager.,0.25,0.0
Gary Owen,"Particular near nearly three.,Her now political in.,Send particularly set thought her chair.",0.25,0.0
Timothy Hall,Summer act.,0.1,0.0
Nicholas Garcia,"Performance whole economic.,Yard reduce.,Decide clearly on back.",0.0,0.0
Michael Martin,"Late employee process.,Speak me toward the else we.",0.1,0.0
Jennifer Patrick,"Decade around particular leader some.,Make soon likely.",0.25,0.0
Thomas Davenport,"For certain air once tax discover.,Operation news camera rich set sport.,Tax condition gun oil.",0.0,0.0
David Rivas,Common front southern.,0.1,0.0
Kara Anderson,"Ahead girl analysis.,Thousand case.,Need several include meet school pick.",0.25,3.23
Megan Michael,Southern fill attention blood.,0.1,0.0
Mikayla Davis,Beyond compare.,0.25,0.0
Monica West,"Key age become.,Make soon likely.",0.1,0.0
Daniel Mccullough,Hair sense her but method.,0.1,0.0
Patricia Torres,"Brother them executive hour ask opportunity.,Carry need artist.",0.1,0.0
Sharon Anderson,"Simple other seek somebody individual commercial.,Keep leg condition your green.",0.1,0.0
Steven Bryant,Skill let ago experience perform but.,0.1,0.0
Carolyn Wells,Evidence Mrs live any.,0.1,0.0
Karen Lara,Choice give in.,0.1,0.0
Mr. Austin Morris,Space include show sing.,0.25,2.73
Kathy Fox,In certainly few keep political candidate.,0.0,0.0
Jody Thomas,Simple other seek somebody individual commercial.,0.0,0.0
Ryan Goodwin,Try personal nation thousand.,0.25,0.0
Alexander Stewart Jr.,"Significant exist plant.,Low win ago approach.",0.25,0.0
Tiffany Cole,Only common push exist forward.,0.0,0.0
Chelsea Austin,Or song report stand.,0.0,0.0
Jerry Nixon,"Site within stock conference present.,Fast better brother TV husband you.,Raise music development since.",0.1,1.23
John Johnson,I trial apply face back.,0.25,0.0
April Woodard,"Form choose deal television.,Or wide usually study college.,Fire hair former set.",0.0,0.0
Deanna Clark,Decade around particular leader some.,0.0,0.0
Jesse Gomez,Traditional heavy morning.,0.0,0.0
Samuel Nash,Face skin perhaps.,0.25,4.52
Daniel Sanchez,Key age become.,0.25,0.0
Christopher West,Carry threat half the out.,0.25,0.0
Shelia Underwood,Party feel than line painting degree.,0.0,0.0
Gregory Thompson,Election herself mention.,0.1,0.0
Lori Johnson,Make computer to.,0.0,0.0
Eric Reynolds,Cell paper list.,0.0,0.0
Susan Allen,"Determine high war just court.,Along machine fish.,Series mind here true member.",0.1,0.0
Elizabeth White,"Field after.,Network pass she.,Body most detail.",0.0,0.0
Laura Daugherty,"Story stock understand whose.,Source government sort back practice.",0.1,0.0
Jennifer Walton,"Source government sort back practice.,Strategy evidence human really.",0.0,0.0
Alyssa Wilson,"Go law report.,Company bring pretty knowledge others.",0.0,0.0
Dana Hill,"Attorney learn.,Remain never beat.",0.1,0.0
Stephanie Roberts,Dark environment traditional crime window smile.,0.1,0.6
Tina Obrien,"Exist physical impact prepare.,Piece force magazine follow.",0.1,0.0
Heather Ryan,Time who fine media.,0.1,0.0
Ian Johnson,Message table special Mr.,0.1,0.0
Arthur Guzman,My just authority one.,0.25,0.0
Shannon Lindsey,"Nor pull much into red.,Report never process.,Even follow suddenly study evidence.",0.0,0.0
Michael Phillips,Hour paper goal agency.,0.25,0.0
Michael Rojas,Shake number heavy issue.,0.1,0.0
Sheila Mckinney,"My such sure student data.,Rate record record affect democratic coach.,Capital other.",0.0,0.0
Lindsey Gilbert,Focus history analysis nearly wrong.,0.1,0.0
Jesus Brown,Network agree story state.,0.1,0.0
Kristen Guerrero,"Source government sort back practice.,Late employee process.,Everyone avoid stay relate owner.",0.0,0.0
Gabriel Owen,Result statement maintain.,0.25,0.0
James Day,Almost late across couple.,0.1,0.0
John Kennedy,Meeting court movement prepare clearly still.,0.1,0.0
Joyce Ramos,Strategy evidence human really.,0.1,0.61
Lindsay Mcdonald,Themselves again interesting end dark sometimes.,0.1,0.0
Jacob Cantrell,Prevent drive because address western physical.,0.25,0.0
Tyler Jones,"Message table special Mr.,Low win ago approach.",0.25,0.0
Stephanie Porter,Growth live me person.,0.0,0.0
Samantha Scott,Once already beyond.,0.25,0.0
Arthur Montgomery,"Growth live me person.,Rise thought interest.",0.0,0.0
Scott Robinson,Close through share occur woman industry.,0.1,0.69
Dennis Cameron,"Federal reduce top behind note.,Sister plant none.",0.1,0.0
Elizabeth Mcfarland,"Age Republican establish.,Hundred staff join before factor Congress.,Its agent news board.",0.25,0.0
Ralph Christensen,Quickly stay away policy.,0.0,0.0
Monica Cole,"Age Republican establish.,Yourself study growth back.",0.25,2.41
Gregory Smith,Operation news camera rich set sport.,0.25,0.0
Vanessa Oliver,Physical or beautiful clearly.,0.0,0.0
Tammy Smith,"Author education important factor.,Reason product outside coach.,Less meeting even would.",0.25,0.0
Dawn Marshall,"Street shake.,Story stock understand whose.",0.25,0.0
Kelsey Delgado,Today raise.,0.0,0.0
Melissa Frey,Be yeah successful.,0.0,0.0
Henry Christensen,Local where common race.,0.25,0.0
Dean Johnson,"Condition bad firm administration.,Surface impact network.",0.1,0.0
Kathryn Griffin,Song nothing.,0.0,0.0
Emma Chang,Hotel task artist instead structure point.,0.0,0.0
Steven Cervantes,Player something one doctor give.,0.0,0.0
Kevin Beard,Of project road economy.,0.25,0.0
Mikayla Ortiz,"Long stay physical.,Movie property great child.",0.0,0.0
Matthew Day,Event may together.,0.25,0.0
Gregory King,Build prove life reason safe.,0.0,0.0
Caitlin Smith,Fight Republican maintain.,0.0,0.0
Katie Beasley,"But family yet long.,Today raise.",0.1,0.0
Emily Bell,"Father visit sure.,Hundred live food.",0.1,2.29
Jacob Thomas,Court include black do art.,0.0,0.0
Kim Martinez,"Pressure sign figure throughout course.,About nearly program exactly.",0.0,0.0
Natasha Reid,Author head half look.,0.0,0.0
Amber Davidson,Face by design response.,0.1,0.0
Michael James,"Song nothing.,Space drop method ever song.",0.0,0.0
Emily Martin,Dark environment traditional crime window smile.,0.25,0.0
Savannah Snyder,Identify fine laugh best really.,0.25,0.0
Miguel Gonzalez,"Company bring pretty knowledge others.,Evening lose operation.",0.0,0.0
Donna Madden,Piece already modern.,0.1,0.0
Kathryn Wilson,I trial apply face back.,0.25,1.01
Mr. Gregory Johns,Prevent drive because address western physical.,0.0,0.0
Sydney White,Article chair fill so.,0.0,0.0
Angela Gonzalez,Her now political in.,0.0,0.0
Toni Brooks,Amount personal large.,0.0,0.0
Sarah Hansen,Tax condition gun oil.,0.1,0.0
Michelle Black,Direction data through plant.,0.1,0.0
Kristen Hicks,Accept whether impact.,0.1,0.0
Edward Barton,Speech fall group.,0.25,0.0
William Moore,Network agree story state.,0.0,0.0
Cody Villarreal,Bring indeed white.,0.0,0.0
Brian Brennan,Away sometimes stuff look.,0.25,0.0
Philip Benson,Plant expert I.,0.25,0.0
Parker Frank,Worry director forward smile.,0.25,0.0
